csv_post_title,csv_post_post,csv_post_categories,url
SportyKids.no,"SportyKids.no er nettbutikken med klær og sko til kids som liker lek & moro. De elsker fargerike og spreke plagg som er chill å ha på, og som har en sporty look.","229,247,253",http://tc.tradetracker.net/?c=16573&m=0&a=197855
Ekstralys.no,"Ekstralys.no er en anerkjent lysleverandør på det norske markedet og er kjent for kvalitetsprodukter, god service, konkurransedyktige priser og god produktekspertise.","229,235,149,157",http://www.ekstralys.no/tt/index.php?tt=16779_0_197855_
Allers,"Allers er bladet for deg som ønsker mye godt lesestoff. Bladet gir kos, avslapning og masse nyttestoff til skaperglade damer. ","229,311",http://www.allershopping.no/mineblader/tt/?tt=16027_0_197855_
ARK Bokhandel,"ARK er Norges største bokhandelkjede - ingen er billigere på nyheter! I tillegg til 'vanlige' bøker selger ARK.no e-bøker, lydbøker, spill, leker samt fagbøker til studenter og kontorrekvisita. ","229,311",http://tc.tradetracker.net/?c=13106&m=0&a=197855
Bladkongen,Bladkongen.no tilbyr både norske og internasjonale magasiner - alle magasiner og ukeblader på ett og samme sted.,"229,311",http://tc.tradetracker.net/?c=11637&m=0&a=197855
BOKeksperten.no,BOKeksperten.no er en ledende nettbokhandel i Norge.,"229,311",http://www.bokeksperten.no/tt/?tt=12809_0_197855_
Bokkilden.no,Bokkilden.no åpnet i august 1998 som Norges første nettbokhandel og er i dag en av Norges største og ledende nettbokhandlere.,"229,311",http://www.bokkilden.no/SamboWeb/jsp/ekstern/?tt=9964_0_197855_
Haugenbok.no,Haugenbok.no er en internettbokhandel med fokus på rask levering og god service. Dette har vært vårt motto helt siden starten i 1998. ,"229,311",http://www.haugenbok.no/ttbok/?tt=5725_0_197855_
HENNE,HENNE er Norges ledende magasin for stilbevisste kvinner. HENNE presenterer klassisk og tilgjengelig mote kombinert med gode shoppingstips og guider.,"229,311",http://www.allershopping.no/mineblader/tt/?tt=15937_0_197855_
KK ,"KK - Best på kvinner og klær hver uke! KK er Norges eldste ukeblad og er lik kvalitet og god journalistikk, men også innovasjon og nyskapning, noe de har vunnet en rekke mediepriser for. ","229,311",http://www.allershopping.no/mineblader/tt/?tt=16026_0_197855_
Se og Hør,Se og Hør er bladet for de som fortjener en pause i hverdagen. Bladet inneholder flotte bilder og gode historier om kjente fjes fra inn- og utland.,"229,311",http://www.allershopping.no/mineblader/tt/?tt=16069_0_197855_
VI OVER 60,"VI OVER 60 utgis av Grieg Media AS. Magasinet ble opprettet i 1979 og har vært en stor suksess fra dag én, med høy kvalitet på både innhold og utforming. ","229,311",http://tc.tradetracker.net/?c=14644&m=0&a=197855
50plusmatch,50plusmatch.no er designet til aktive mennesker over 50 år som er på utkikk etter et seriøst forhold. Ved bruk av nettstedet kommer dine besøkende hurtig i kontakt med folk på samme bølgelengde.,"325,335",http://www.50plusmatch.no/dating/?tt=5931_0_197855_
Hundepoter,Hundepoter er Norges største nettbutikk for kjæledyr. ,"229,312,313,327",http://www.hundepoter.no/tt/index.php?tt=15196_0_197855_
MyTrendyPhone.no,"MyTrendyPhone.no selger kvalitetstilbehør til mobiltelefoner, iPod-er og andre MP3-spillere, kameraer og videotilbehør, tilbehør til bærbare og PC-er samt Bluetooth-utstyr. ","229,240",http://www.mytrendyphone.no/mobil/?tt=5723_0_197855_
Ting.no,"Ting er et moderne gavebutikkonsept som satser spesielt på individuelle ting og et variert vareutvalg med en utradisjonell sammensetning innenfor kategoriene kjøkken, bad, interiør og gaver, uansett om du skal friske opp hjemmet, kjøpe en gave til deg selg eller andre.","229,258,238,256",https://www.ting.no/tradetracker/index.html/?tt=6240_0_197855_
Dustin.no,"Dustin.no er Nordens ledende e-handelsportal for IT-produkter. På Dustin.no kan bedrifter handle alt de trenger innenfor IT: PC og tilleggsutstyr, skrivere og skannere, lyd og bilde, telefon og navigasjon, programvare, server og lagring, kontorutstyr og møbler. ","229,279",http://www.dustin.no/content/tt/?tt=12817_0_197855_
BangerHead.no,"Skjønnhet på nettet! Hos BangerHead kan man velge mellom tusentalls skjønnhetsprodukter fra kjente varemerker som Macadamia Oil, bareMinerals, L'Oreal Paris og Redken – til rimeligere priser enn i butikken.","229,242",http://tc.tradetracker.net/?c=9523&m=0&a=197855
beconfiDent,"Tannbleking hjemmefra - hvitere tenner på 30 minutter! Få hvitere tenner raskt, sikkert og effektivt med samme gjennomprøvde metode som tannleger har brukt i over 20 år. Tannbleking fra BeconfiDent er 100 % fri for TEA og andre skadelige emner.","229,242",http://www.beconfident.no/tt/?tt=9949_0_197855_
Betakaroten,"Produktet er den original betakaroten fra betakaroten.no, som er markedets kraftigste. Totalt inneholder produktet 9 mg betakaroten per tablett, hvorav 3mg tilsatt og 6mg fra gulrotekstrakt for maksimal bruningseffekt og hudpleie.","229,306",http://www.betakaroten.no/brun/?tt=5716_0_197855_
BladeBox.no,"BladeBox har ett komplett utvalg av barberhøvelprodukter fra Gillette, Wilkinson Sword og Dorco til både menn og kvinner til meget attraktive priser.","229,242",http://www.bladebox.no/tt/?tt=13669_0_197855_
BRUN365,Bli vakker og varig brun - hele året - med BRUN365! ,"229,242",http://tc.tradetracker.net/?c=7024&m=0&a=197855
Coffee Zero,Coffee Zero® Slankekaffe inneholder forbrenningsfremmende ekstrakter fra grønne kaffebønner som forsvinner ved brenning av ordinær kaffe. ,"229,306",http://www.coffeezero.no/slank/?tt=6911_0_197855_
Detox,"Detox fra Biovita er et rensende og organisk natur- produkt med Mariatistel, Sitronmelisse, Chlorella og Gurkemeie.","229,306",http://tc.tradetracker.net/?c=8631&m=0&a=197855
Erecto,Erecto® er et effektivt preparat som bedrer potensen. Ved bruk vil man oppleve økt lyst og kraftigere potens.,"229,306",http://www.erecto.no/potens/?tt=6164_0_197855_
Extra Diet,"Extra Diet er et helsekostprodukt fra Natura Lab, et moderne helsekostselskap med flere kjente merkevarer.","229,306",http://www.extradiet.no/tt/?tt=11245_0_197855_
Fedon.no,"På Dr. Fedon Lindbergs nettbutikk, shop.fedon.no, selges alle de populære Fedon SmartKarbo matvarene. ","229,306",http://tc.tradetracker.net/?c=13672&m=0&a=197855
GlucoPRO,"GlucoPRO er et helsekostprodukt fra Natura Lab, et moderne helsekostselskap med flere kjente merkevarer.","229,306",http://www.glucopro.no/tt/?tt=11244_0_197855_
Goldenlibido.no,Golden libido Active™ er et trygt og naturlig helsekosttilskudd som gir umiddelbar seksuell prestasjon. ,"229,306",http://tc.tradetracker.net/?c=12510&m=0&a=197855
Koffeinpillen Max Caffeine,"Produktet et av de første av sitt slag på markedet, en reseptfri koffeinpille med 300 mg naturlig koffein per døgndose. ","229,306",http://www.koffeinpillen.no/energi/?tt=6912_0_197855_
LensOn,"Hos LensOn bestiller du enkelt samme kontaktlinser som hos optikeren, men til lavere priser. LensOn selger alle typer billige linser. ","229,310",http://www.lenson.com/no/products/?tt=6940_0_197855_
Lensstore.no,"Lensstore.no selger kontaktlinser, solbriller og briller på nett. Deres priser er noen av de laveste på markedet og de har høy konverteringsrate.","229,310",http://www.lensstore.no/tt/?tt=16970_0_197855_
Nago,Med hele 11 superfrukter og grønnsaker er Nago et superfood tilskudd full av næringsstoffer.,"229,306",http://www.nago.no/tt/?tt=11243_0_197855_
Powerburn,"Produktet er en ""burner"", som betyr kraftig fettforbrenning ved økt forbrenning. Powerburn er et enkelt produkt, men virkningsfullt. Innholdet er kun naturlig koffein fra grønn te og chilipepper, og denne enkelheten gjør det både virkningsfullt og trygt. ","229,306",http://www.powerburn.no/slank/?tt=5714_0_197855_
Pure Detox,Pure Detox® - gir kroppen et innvendig spaopphold. 3 dagers intensiv kur!,"229,306",http://puredetox.no/utrens/?tt=8632_0_197855_
Sleepwell,Produktet består av tre ingredienser som alle er søvnfremkallende/beroligende og godkjent av den Europeiske Kommisjonen til bruk ved søvnforstyrrelser. ,"229,306",http://www.sleepwell.no/sleep/?tt=5715_0_197855_
Swiss Clinic,Swiss Clinic er foretaket som står bak storselgerne Swiss Lashes (vippeserum) og Swiss Whitening (tannbleking). Samtlige produkter har en dokumentert effekt med garanterte resultater. Swiss Clinic produktene har hatt stor suksess i både Sverige og Norge og responsen i sosiale medier har vært enorm.,"229,242",http://www.swissclinic.no/tt/?tt=11979_0_197855_
VITA.NO,VITA og VITA Exlusive er Norges ledende kjede innenfor skjønnhet og velvære.,"229,242,306",http://www.vita.no/tt/?tt=15935_0_197855_
VitaePro,"Ved å supplere kosten med VitaePro får en i seg C, D, og vitamin E, essensielle og miljøvennlige omega 3 fettsyrer, astaxanthin, zeaxanthin og lutein - alt i en enkel kapsel. VitaePro er i dag et av Nordens mest brukte kosttilskudd. ","229,306",http://tc.tradetracker.net/?c=5807&m=0&a=197855
Vital Greens,"Oversiktlig nettbutikk hvor man får kjøpt Vital Greens Supermat som enkeltkjøp, og abonnement med 3, 6 eller 12 måneders bindingstid.","229,306",http://tc.tradetracker.net/?c=10453&m=0&a=197855
Belysning1.no,"Belysning1.no er en nettbutikk som selger belysning, LED og lamper på nett og har en 100% fornøyd garanti.","257,256,229,258",http://belysning1.no/trade_tracker.php?tt=13156_0_197855_
Hafslund,Hafslund Strøm er Norges største strømleverandør. Hafslund Strøm leverer strøm både til privat- og bedriftsmarkedet.,"257,337",http://tc.tradetracker.net/?c=13293&m=0&a=197855
NorgesEnergi,"NorgesEnergi er en av Norges største lavprisaktører på strøm, og har hatt den posisjon i flere år nå","257,337",http://tc.tradetracker.net/?c=9122&m=0&a=197855
Telinet,"Telinet Energi AS ble etablert i begynnelsen av 2003, og har som mål å bidra til økt konkurranse og riktige priser i det norske strømmarkedet.","257,337",http://www.telinet.no/energi/?tt=5844_0_197855_
Verisure,Verisure tilbyr boligalarm og tjenester for det smarte hjemmet. ,"257,273",http://tc.tradetracker.net/?c=11755&m=0&a=197855
Dustin home,"På Dustinhome.no finner en alt av hjemmeelektronikk som datamaskiner, TV, kameraer, spill, smartphones, hjemmekinoanlegg, og mye mer. ","229,279,284,240",http://www.dustin.no/content/tt/?tt=12818_0_197855_
inkClub,"Bläckpatroner, lasertoner, batterier, dammsugarpåsar, rakhyvlar, belysning.","229,285",http://tc.tradetracker.net/?c=14353&m=0&a=197855
Inkmann.no,Blekk og toner til nordens laveste priser er Inkmanns målsetting.,"229,285",http://www.inkmann.no/userfiles/file/blekk/index.aspx?tt=5782_0_197855_
Tonerweb.no,Tonerweb.no er størst på blekk og toner. I tillegg leverer de alt til kontoret. Både til private og bedrifter og de har 30 dagers åpen kjøp.,"229,285",http://www.tonerweb.no/tt/?tt=13246_0_197855_
21DIAMONDS,"21DIAMONDS er en av Europas største nettforhandlere av klokker og smykker. Bedriften ble etablert i Tyskland i 2011 og tilbyr i dag nesten 1000 gullsmedsmykkemodeller som kan konfigureres etter kundens eget ønske, samt motesmykker og klokker fra kjente merkevarer.","229,316",http://www.21diamonds.no/tt/?tt=9573_0_197855_
BodyMod.dk Shop,"Hos BodyMod kan du kjøpe piercingkuler, piercingstaver og andre piercingsmykker i høy kvalitet til lave priser. ","229,247,246",http://tc.tradetracker.net/?c=14876&m=0&a=197855
Bubbleroom,"Bubbleroom.no er en av nordens største nettbutikker og leverer tusenvis av produkter til fornøyde kunder hver dag. Bubbleroom sitt sortiment består av trendy klær, accessories samt skjønnhetsprodukter for kvinner og menn. ","229,247,278,253,246",http://tc.tradetracker.net/?c=9437&m=0&a=197855
Cellbes,"Cellbes.no selger rimelige klær for kvinner, menn og ungdommer. Det finnes også et stort utvalg av sko, accessories, ting til hjemmet samt møbler. ","229,247,254,278,253,246",http://tc.tradetracker.net/?c=9438&m=0&a=197855
